1743758780: mosquitto version 2.0.21 starting
1743758780: Config loaded from /mosquitto/config/mosquitto.conf.
1743758780: Opening ipv4 listen socket on port 1883.
1743758780: Opening ipv6 listen socket on port 1883.
1743758780: mosquitto version 2.0.21 running
1743758781: New connection from 172.18.0.3:54035 on port 1883.
1743758781: New client connected from 172.18.0.3:54035 as auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (p2, c1, k60).
1743758781: No will message specified.
1743758781: Sending CONNACK to auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (0, 0)
1743758781: Received PUBLISH from auto-F6C553BD-6AB4-A512-0D90-661F654AEE12 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765746: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765746: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765746: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765746: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765746: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743765746: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765747: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765747: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765747: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765747: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765747: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765747: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765747: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765747: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743765747: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (160 bytes))
1743765747: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765748: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765748: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765748: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765748: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765748: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765748: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765748: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (166 bytes))
1743765748: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765748: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765748: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765749: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765749: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765749: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765749: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765749: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (166 bytes))
1743765749: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765749: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765749: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765749: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (166 bytes))
1743765750: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (167 bytes))
1743765750: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765750: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765750: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765750: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765750: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765750: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765750: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765750: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765750: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765751: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743765751: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765751: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765751: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765751: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765751: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765751: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743765751: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (166 bytes))
1743765751: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765751: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (166 bytes))
1743765752: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (166 bytes))
1743765752: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765752: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765752: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765752: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765752: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765752: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765752: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765752: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743765752: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (160 bytes))
1743765753: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765753: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (160 bytes))
1743765753: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (160 bytes))
1743765753: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743765753: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765753: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765753: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765753: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (159 bytes))
1743765753: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765753: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765754: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (160 bytes))
1743765754: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765754: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765754: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (159 bytes))
1743765754: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765754: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743765754: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765754: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765754: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765754: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743765755: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765755: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743765755: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743765755: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743765755: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743765755: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765755: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765755: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765755: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765755: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765756: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765756: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765756: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (160 bytes))
1743765756: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743765756: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (160 bytes))
1743765756: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765756: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765756: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765756: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (159 bytes))
1743765756: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (161 bytes))
1743765757: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (167 bytes))
1743765757: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765757: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (160 bytes))
1743765757: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765757: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765757: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743765757: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765757: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765757: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743765757: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765758: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765758: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (166 bytes))
1743765758: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765758: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765758: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765758: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765758: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765758: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765758: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765758: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765759: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765759: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765759: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765759: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765759: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743765759: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765759: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765759: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765759: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765759: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765760: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765760: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765760: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765760: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743765760: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (160 bytes))
1743765760: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765760: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765760: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765760: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765760: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765761: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765761: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765761: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (166 bytes))
1743765761: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765761: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765761: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765761: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765761: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765761: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765762: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765762: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (166 bytes))
1743765762: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765762: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765762: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765762: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (166 bytes))
1743765762: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (167 bytes))
1743765762: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765762: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765762: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765763: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765763: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765763: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765763: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765763: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765763: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
1743765763: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (162 bytes))
1743765763: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (165 bytes))
1743765763: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (164 bytes))
1743765763: Received PUBLISH from auto-CAF1EDA0-2934-0179-C2DB-E978B35711C9 (d0, q0, r0, m0, 'agent_data_topic', ... (163 bytes))
